Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produktivitas,Produksi_Lag1,Produksi_Lag2,Produktivitas_Lag1,Curah_Hujan_Mean_Provinsi,Curah_Hujan_Anomaly,Curah_Hujan_Kategori,Comfort_Index,Provinsi_Encoded,Curah_Hujan_Sedang,Curah_Hujan_Tinggi,Curah_Hujan_Sangat Tinggi
Lampung,1998,1975700.0,521575.0,2584.9,84.07,26.95,3.7879499592580164,1753656.0,1971740.0,3.86193835102084,1925.3,659.6000000000001,Tinggi,25.178964999999994,3,False,True,False
Lampung,1999,1801422.0,476899.0,2364.7,83.46,26.24,3.7773658573408624,1975700.0,1753656.0,3.7879499592580164,1925.3,439.39999999999986,Tinggi,24.403703999999994,3,False,True,False
Lampung,2000,1946406.0,496879.0,1488.5,82.86,28.2,3.917263559136128,1801422.0,1975700.0,3.7773658573408624,1925.3,-436.79999999999995,Sedang,23.863680000000002,3,True,False,False
Lampung,2001,1992726.0,501119.0,2013.1,77.83,26.71,3.9765524755596973,1946406.0,1801422.0,3.917263559136128,1925.3,87.79999999999995,Tinggi,23.123293,3,False,True,False
Lampung,2002,1951109.0,475461.0,2143.5,75.84,27.5,4.103615228168031,1992726.0,1946406.0,3.9765524755596973,1925.3,218.20000000000005,Tinggi,22.3728,3,False,True,False
Lampung,2003,1966293.0,472635.0,1682.2,68.7192,29.6677,4.160278015805008,1951109.0,1992726.0,4.103615228168031,1925.3,-243.0999999999999,Sedang,18.7825379016,3,True,False,False
Lampung,2004,2091996.0,495519.0,2042.9,81.47,29.66,4.221828022739794,1966293.0,1951109.0,4.160278015805008,1925.3,117.60000000000014,Tinggi,22.273898,3,False,True,False
Lampung,2005,2124144.0,496538.0,1612.8,79.6,26.59,4.277908236630429,2091996.0,1966293.0,4.221828022739794,1925.3,-312.5,Sedang,23.553639999999998,3,True,False,False
Lampung,2006,2129914.0,494102.0,560.3,74.6,26.18,4.310676742858762,2124144.0,2091996.0,4.277908236630429,1925.3,-1365.0,Rendah,21.76828,3,False,False,False
Lampung,2007,2308404.0,524955.0,1941.4,75.9,27.6,4.397336914592679,2129914.0,2124144.0,4.310676742858762,1925.3,16.100000000000136,Sedang,22.3146,3,True,False,False
Lampung,2008,2341075.0,506547.0,1940.1,79.0,26.4,4.621634320211155,2308404.0,2129914.0,4.397336914592679,1925.3,14.799999999999955,Sedang,23.226,3,True,False,False
Lampung,2009,2673844.0,570417.0,1789.0,79.1,26.7,4.687525091292861,2341075.0,2308404.0,4.621634320211155,1925.3,-136.29999999999995,Sedang,23.492699999999996,3,True,False,False
Lampung,2010,2807676.0,590608.0,2710.0,82.3,26.7,4.75387397393872,2673844.0,2341075.0,4.687525091292861,1925.3,784.7,Tinggi,24.443099999999998,3,False,True,False
Lampung,2011,2940795.0,606973.0,1568.0,77.8,26.8,4.845017817926004,2807676.0,2673844.0,4.75387397393872,1925.3,-357.29999999999995,Sedang,23.1844,3,True,False,False
